URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/chu-nhat-do-2026-gap-nu-sinh-gan-10-lan-hien-mau-post1823998.tpo,0.1429,0.1216,0.1122,0.0008,0.581969,12.18,13.86,2416
https://tienphong.vn/ong-tran-sy-thanh-cam-ket-gi-voi-cu-tri-lang-son-post1823987.tpo,0.1617,0.1466,0.1285,0.0025,0.613654,8.79,15.01,1611
https://tienphong.vn/thong-tin-moi-vu-2-nu-sinh-lop-8-bi-bat-ve-lam-vo-o-nghe-an-post1823985.tpo,0.1794,0.1466,0.1478,0.0074,0.604405,4.36,18.69,1317
https://tienphong.vn/vung-2-hai-quan-bo-phieu-bau-cu-som-post1823970.tpo,0.1614,0.1427,0.1457,0.0023,0.688121,5.2,15.46,1582
https://tienphong.vn/nhung-la-phieu-dac-biet-tren-them-luc-dia-phia-nam-post1823954.tpo,0.1517,0.1356,0.1344,0.002,0.618398,5.15,14.86,1559
https://tienphong.vn/dong-bao-dan-toc-giao-dan-dak-lak-gui-tron-niem-tin-vao-la-phieu-bau-post1823827.tpo,0.182,0.1594,0.1541,0.0051,0.680336,5.01,16.5,1500
https://tienphong.vn/cuu-chien-binh-duoc-chuong-trinh-chu-nhat-do-sua-nha-khang-trang-toi-mung-khong-ngu-duoc-post1823966.tpo,0.1646,0.1469,0.1267,0.0025,0.558283,7.49,15.52,2256
https://tienphong.vn/no-tai-benh-vien-tra-vinh-xuat-phat-tu-hop-banh-cua-nguoi-tham-benh-post1823965.tpo,0.2142,0.1602,0.1488,0.0084,0.573197,4.83,20.3,1281
https://tienphong.vn/giai-the-5-trung-tam-y-te-o-ca-mau-post1823962.tpo,0.3086,0.2743,0.238,0.0496,0.668943,4.68,28.1,1408
https://tienphong.vn/qua-bom-khung-con-nguyen-kip-no-nam-duoi-mong-nha-dan-post1823973.tpo,0.2165,0.1716,0.1772,0.0114,0.655415,3.18,22.2,1058
https://tienphong.vn/nguoi-viet-o-trung-dong-tam-trang-bat-an-ca-dem-khong-dam-ngu-post1823956.tpo,0.1681,0.1363,0.1206,0.0019,0.575481,4.75,16.16,1936
https://tienphong.vn/dan-ha-noi-duoc-phep-xay-moi-nha-o-tren-bai-song-post1823944.tpo,0.2164,0.1709,0.1643,0.0156,0.63472,4.24,22.33,1121
https://tienphong.vn/lanh-dao-uy-ban-trung-uong-mttq-viet-nam-tiep-xuc-cu-tri-o-xa-dac-biet-kho-khan-post1823907.tpo,0.1163,0.107,0.1019,0.0003,0.678851,4.76,11.11,1859
https://tienphong.vn/xay-ra-vu-no-tai-benh-vien-tra-vinh-post1823943.tpo,0.263,0.2092,0.1891,0.0385,0.651686,4.14,28.64,999
https://tienphong.vn/thu-tuong-pham-minh-chinh-nhan-manh-5-bai-hoc-sau-sac-tu-co-thu-tuong-pham-van-dong-post1823906.tpo,0.0695,0.0656,0.065,0,0.703923,3.53,7.21,2178
https://tienphong.vn/ron-rang-khoi-dong-thang-thanh-nien-2026-tai-hue-post1823904.tpo,0.3904,0.3237,0.312,0.0886,0.629991,5.39,36.36,1280
https://tienphong.vn/chay-bai-tap-ket-mut-o-cu-chi-post1823929.tpo,0.2186,0.1638,0.1652,0.0154,0.622981,4.12,24.37,1158
https://tienphong.vn/hai-xe-may-lao-am-am-vao-nhau-5-nguoi-thuong-vong-post1823920.tpo,0.538,0.4463,0.3775,0.1924,0.742009,4.28,53.99,952
https://tienphong.vn/tam-buoi-toi-o-bien-nhat-le-mot-du-khach-bi-song-cuon-post1823884.tpo,0.3549,0.274,0.2518,0.0778,0.672616,3.06,35.43,985
https://tienphong.vn/co-thu-tuong-pham-van-dong-qua-hoi-uc-cua-cuu-chu-tich-tinh-97-tuoi-post1823894.tpo,0.0676,0.057,0.0557,0,0.530626,5.17,5.9,2839
https://tienphong.vn/hon-100-canh-sat-bao-vay-triet-xoa-soi-bac-da-ga-quy-mo-lon-o-tphcm-post1823888.tpo,0.1565,0.1373,0.1304,0.0023,0.55254,4.52,14.7,1569
https://tienphong.vn/container-om-cua-sai-quy-dinh-cuon-nguoi-phu-nu-tu-vong-post1823842.tpo,0.3544,0.2589,0.2456,0.062,0.616305,4.1,35.93,1010
https://tienphong.vn/chuong-trinh-nghe-thuat-ky-niem-120-nam-ngay-sinh-co-thu-tuong-pham-van-dong-post1823843.tpo,0.3333,0.2701,0.2424,0.0601,0.621829,4.24,33.84,1260
https://tienphong.vn/thoi-tiet-mien-bac-thay-doi-the-nao-trong-nhung-ngay-toi-post1823859.tpo,0.2703,0.1833,0.2012,0.0172,0.644773,5.99,23.69,1606
https://tienphong.vn/nguyen-lanh-dao-tphcm-chia-se-bi-kip-voi-ung-cu-vien-dai-bieu-quoc-hoi-trong-do-tuoi-doan-post1823794.tpo,0.0838,0.0707,0.0728,0,0.59298,3.61,7.7,2273
https://tienphong.vn/tieu-diem-le-hoi-dau-xuan-dong-duc-nhung-luu-y-khong-the-bo-qua-post1823574.tpo,0.7586,0.5465,0.5977,0.2393,0.634123,3.55,122.09,659
https://tienphong.vn/tuoi-tre-gia-lai-khanh-hoa-ra-quan-thang-thanh-nien-voi-nhieu-hoat-dong-soi-noi-post1823714.tpo,0.1412,0.1206,0.1238,0.0007,0.546552,4.55,12.65,2123
https://tienphong.vn/pho-thu-tuong-pham-thi-thanh-tra-thanh-nien-phai-tien-phong-trong-doi-moi-sang-tao-post1823728.tpo,0.0702,0.0631,0.0653,0,0.599423,3.18,6.77,2217
https://tienphong.vn/tuoi-tre-thanh-hoa-trao-10-ty-dong-von-vay-cho-thanh-nien-khoi-nghiep-post1823783.tpo,0.1589,0.132,0.1382,0.0036,0.676157,3.66,16.5,1306
https://tienphong.vn/tuoi-tre-quang-ngai-can-tho-ra-quan-thang-thanh-nien-2026-voi-nhieu-cong-trinh-thiet-thuc-post1823812.tpo,0.1044,0.0958,0.0903,0.0001,0.599953,6.22,9.03,3184
https://tienphong.vn/tam-giu-hanh-khach-kep-co-danh-dap-tai-xe-taxi-vi-bi-huy-chuyen-post1823823.tpo,0.4322,0.318,0.269,0.0588,0.588446,4.89,38.19,1096
https://tienphong.vn/thu-tuong-pham-minh-chinh-lam-viec-voi-ban-thuong-vu-thanh-uy-da-nang-post1823817.tpo,0.0478,0.0435,0.0419,0,0.665703,3.84,4.83,3441
https://tienphong.vn/khuyen-cao-cong-dan-viet-nam-tranh-den-israel-va-iran-vao-thoi-diem-nay-post1823818.tpo,0.2221,0.1799,0.1825,0.0146,0.619889,5.3,21.45,1608
https://tienphong.vn/ha-noi-co-so-thu-mua-phe-lieu-boc-chay-du-doi-lan-sang-2-nha-lien-ke-post1823819.tpo,0.5752,0.4438,0.3658,0.1846,0.703156,4.58,57.88,991
https://tienphong.vn/hoc-tap-va-lan-toa-tam-guong-dong-chi-pham-van-dong-post1823813.tpo,0.1121,0.1039,0.1004,0.0002,0.60849,5.51,10.58,2486
https://tienphong.vn/an-giang-truc-xuat-2-nguoi-trung-quoc-nhap-canh-trai-phep-post1823788.tpo,0.31,0.2745,0.274,0.0606,0.745243,3.51,32.34,1001
https://tienphong.vn/xe-bien-xanh-bi-to-vi-pham-giao-thong-tai-xe-va-don-vi-quan-ly-bi-phat-gan-40-trieu-dong-post1823799.tpo,0.2128,0.183,0.1738,0.0105,0.600796,4.36,18.38,1584
https://tienphong.vn/tim-thay-thi-the-nguoi-me-tre-dang-mang-thai-va-con-gai-duoi-ho-nuoc-o-dak-lak-post1823800.tpo,0.2934,0.2302,0.2219,0.041,0.677242,2.9,27.63,954
https://tienphong.vn/ha-noi-3-nguoi-di-xe-may-suyt-chet-khi-bi-o-to-ban-tai-tat-dau-post1823753.tpo,0.5209,0.3966,0.3621,0.1562,0.708004,3.71,51.68,966
https://tienphong.vn/cam-tau-thuyen-qua-doan-kenh-co-cau-bi-sap-o-can-tho-post1823784.tpo,0.5507,0.4388,0.3917,0.2037,0.727875,5.52,51.84,1047
https://tienphong.vn/ong-nguyen-duy-ngoc-ha-noi-phai-la-dau-tau-dan-dat-ca-nuoc-post1823735.tpo,0.1841,0.1656,0.1559,0.0041,0.605857,4.68,15.57,1984
https://tienphong.vn/va-cham-xe-may-tren-quoc-lo-nguoi-ban-ve-so-cung-nu-cong-nhan-tu-vong-post1823775.tpo,0.5765,0.4216,0.4137,0.1813,0.677238,4.35,61.09,942
https://tienphong.vn/viet-nam-mo-rong-hop-tac-quoc-te-trong-chuyen-giao-nguoi-chap-hanh-an-phat-tu-post1823756.tpo,0.0942,0.0843,0.0797,0,0.644223,3.8,8.76,2257
https://tienphong.vn/khoi-dong-thang-thanh-nien-tuoi-tre-tphcm-chung-suc-khoi-thong-dong-chay-kenh-rach-post1823631.tpo,0.0919,0.081,0.0718,0,0.649603,4.11,9.26,2073
https://tienphong.vn/mien-bac-sap-don-khong-khi-lanh-post1823778.tpo,0.352,0.2994,0.2901,0.0754,0.688093,5.16,33.18,1360
https://tienphong.vn/ra-quan-thang-thanh-nien-khoi-cong-xay-dung-nha-nhan-ai-cho-nguoi-ngheo-o-ha-tinh-post1823745.tpo,0.375,0.2885,0.2851,0.0606,0.610986,7.01,31.56,1312
https://tienphong.vn/hon-4-ty-dong-thuc-hien-cac-cong-trinh-trong-thang-thanh-nien-o-da-nang-post1823741.tpo,0.1385,0.1263,0.1271,0.0009,0.697187,3.08,13.35,1557
https://tienphong.vn/bo-noi-vu-de-nghi-ra-soat-phu-cap-dac-biet-cua-cong-chuc-post1823750.tpo,0.3316,0.2605,0.2232,0.0497,0.653702,5.43,30.62,1354
https://tienphong.vn/ha-noi-khong-de-quy-hoach-bi-chi-phoi-boi-loi-ich-nhom-hay-tu-duy-nhiem-ky-post1823740.tpo,0.1679,0.152,0.1458,0.0034,0.611978,5.26,15.66,1747
https://tienphong.vn/sap-cau-o-can-tho-xe-cho-gao-roi-xuong-song-post1823710.tpo,0.4537,0.3348,0.3115,0.084,0.622384,5.84,42.48,1057
