URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/chu-nhat-do-2026-gap-nu-sinh-gan-10-lan-hien-mau-post1823998.tpo,0.1517,0.1299,0.1153,0.0012,0.5888,5299,14.6700,2431
https://tienphong.vn/ong-tran-sy-thanh-cam-ket-gi-voi-cu-tri-lang-son-post1823987.tpo,0.2147,0.1969,0.1734,0.0124,0.6177,5311,20.3400,1665
https://tienphong.vn/thong-tin-moi-vu-2-nu-sinh-lop-8-bi-bat-ve-lam-vo-o-nghe-an-post1823985.tpo,0.1834,0.1625,0.1464,0.0067,0.6020,4977,17.4300,1308
https://tienphong.vn/vung-2-hai-quan-bo-phieu-bau-cu-som-post1823970.tpo,0.1405,0.1207,0.1237,0.0016,0.6656,2978,13.6900,1565
https://tienphong.vn/nhung-la-phieu-dac-biet-tren-them-luc-dia-phia-nam-post1823954.tpo,0.1589,0.1376,0.1415,0.0024,0.6386,5190,16.3300,1573
https://tienphong.vn/dong-bao-dan-toc-giao-dan-dak-lak-gui-tron-niem-tin-vao-la-phieu-bau-post1823827.tpo,0.1810,0.1646,0.1427,0.0061,0.7069,4727,17.4000,1508
https://tienphong.vn/cuu-chien-binh-duoc-chuong-trinh-chu-nhat-do-sua-nha-khang-trang-toi-mung-khong-ngu-duoc-post1823966.tpo,0.1018,0.0889,0.0882,0.0001,0.5660,4103,10.4700,2178
https://tienphong.vn/no-tai-benh-vien-tra-vinh-xuat-phat-tu-hop-banh-cua-nguoi-tham-benh-post1823965.tpo,0.1822,0.1546,0.1488,0.0043,0.5714,3783,17.6300,1263
https://tienphong.vn/giai-the-5-trung-tam-y-te-o-ca-mau-post1823962.tpo,0.2919,0.2455,0.2356,0.0366,0.6600,3950,27.2900,1402
https://tienphong.vn/qua-bom-khung-con-nguyen-kip-no-nam-duoi-mong-nha-dan-post1823973.tpo,0.4055,0.3136,0.3248,0.1202,0.6667,4506,40.4600,1148
https://tienphong.vn/nguoi-viet-o-trung-dong-tam-trang-bat-an-ca-dem-khong-dam-ngu-post1823956.tpo,0.1262,0.0958,0.0957,0.0003,0.5431,4966,12.7600,1892
