URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/khoi-to-nhom-doi-tuong-bat-coc-danh-dap-ep-nguoi-phu-nu-chuyen-tien-post1823959.tpo,0.2155,0.1776,0.1813,0.0095,0.58243,4.13,18.81,1309
https://tienphong.vn/con-duong-den-an-tu-cua-ong-trum-ma-tuy-post1823872.tpo,0.1261,0.1131,0.1027,0.0005,0.587721,4.41,11.93,1970
https://tienphong.vn/hai-nguoi-thuong-vong-sau-khi-bi-nhom-doi-tuong-vo-co-tan-cong-post1823982.tpo,0.1782,0.1315,0.1254,0.0034,0.608977,3.84,15.49,1536
https://tienphong.vn/dot-nhap-nha-dan-pha-ket-sat-trom-so-tien-vang-tri-gia-hon-1-ty-dong-post1823934.tpo,0.3072,0.2425,0.226,0.0382,0.62343,4.85,29.18,1373
https://tienphong.vn/nu-quai-lua-ban-5-tre-em-sa-luoi-sau-15-nam-tron-truy-na-post1823967.tpo,0.4154,0.3283,0.3084,0.1095,0.629614,5.6,42.76,1131
https://tienphong.vn/no-tai-benh-vien-tra-vinh-xuat-phat-tu-hop-banh-cua-nguoi-tham-benh-post1823965.tpo,0.2976,0.2298,0.1864,0.0221,0.60632,4.48,27.56,1331
https://tienphong.vn/giam-doc-cong-an-ha-noi-som-su-dung-thiet-bi-bay-khong-nguoi-lai-giam-sat-an-ninh-post1823927.tpo,0.0919,0.079,0.082,0.0001,,2.91,9.09,1657
https://tienphong.vn/vu-bv-bach-mai-viet-duc-co-so-2-de-nghi-bo-quoc-phong-dieu-tra-4-doanh-nghiep-post1823923.tpo,0.2577,0.2278,0.2088,0.0343,0.653055,5.35,23.78,1892
https://tienphong.vn/bat-18-quai-xe-mang-hung-khi-gay-nao-loan-duong-pho-post1823889.tpo,0.3868,0.2913,0.2783,0.0839,0.628155,4.83,38.88,1289
https://tienphong.vn/cuc-canh-sat-hinh-su-pha-duong-day-mua-ban-gan-than-tien-ty-post1823846.tpo,0.1362,0.1115,0.1058,0.0005,0.574899,3.41,12.65,1698
https://tienphong.vn/bat-nhom-doi-tuong-gay-roi-dam-chet-nguoi-sau-tiec-lien-hoan-post1823754.tpo,0.3157,0.2079,0.235,0.0284,0.555624,4.02,26.75,1066
https://tienphong.vn/nhom-doi-tuong-sam-bo-dam-dong-gia-cong-an-di-xu-ly-vi-pham-giao-thong-post1823786.tpo,0.2212,0.181,0.1869,0.0141,0.580171,3.18,20.64,1182
https://tienphong.vn/cam-keo-xong-vao-tiem-lam-mong-cuop-day-chuyen-post1823792.tpo,0.7092,0.476,0.4064,0.2097,0.605556,3.79,59.46,942
https://tienphong.vn/truy-duoi-ngan-tau-ca-nghi-vi-pham-iuu-tren-bien-tay-nam-post1823798.tpo,0.201,0.1756,0.1632,0.0074,0.65589,3.15,17.55,1360
https://tienphong.vn/viet-nam-mo-rong-hop-tac-quoc-te-trong-chuyen-giao-nguoi-chap-hanh-an-phat-tu-post1823756.tpo,0.1594,0.1459,0.1373,0.0023,0.620808,5.65,14.9,2359
https://tienphong.vn/10-ca-nhan-to-giac-toi-pham-tai-du-an-benh-vien-bach-mai-va-viet-duc-co-so-2-post1823661.tpo,0.133,0.1121,0.1202,0.0009,0.633913,3.71,10.95,1786
https://tienphong.vn/cap-anh-em-song-sinh-chem-nguoi-vi-mau-thuan-choi-bau-cua-post1823689.tpo,0.2542,0.1966,0.2034,0.0278,0.618333,3.51,24.76,998
https://tienphong.vn/giam-doc-cong-ty-lam-nghiep-ea-kar-bi-bat-voi-cao-buoc-nhan-hoi-lo-post1823713.tpo,0.5509,0.4523,0.4535,0.2436,0.702467,5.89,56.36,1184
https://tienphong.vn/vu-bv-bach-mai-viet-duc-co-so-2-doanh-nghiep-duoc-tao-dieu-kien-nho-su-gioi-thieu-cua-ong-mai-tien-dung-post1823699.tpo,0.1476,0.1258,0.1324,0.0015,0.612337,3.54,13.35,1641
https://tienphong.vn/cu-lua-trieu-do-chay-doan-kiem-tra-du-an-benh-vien-bach-mai-va-viet-duc-co-so-2-post1823672.tpo,0.1047,0.0951,0.0878,0.0001,0.633125,3.91,10.48,2103
https://tienphong.vn/cuoc-doi-chat-ve-khoan-tien-chia-chac-giua-ba-nguyen-thi-kim-tien-va-thuoc-cap-post1823649.tpo,0.2762,0.2438,0.221,0.0451,0.634895,5.25,28.05,1561
https://tienphong.vn/cong-an-trieu-tap-chu-tai-khoan-teo-duong-va-long-bikers-post1823657.tpo,0.2252,0.1905,0.1903,0.0123,0.618366,3.9,20.24,1479
https://tienphong.vn/luat-su-noi-ve-vu-do-vat-tu-vong-trong-khi-thi-dau-o-hoi-lang-post1823598.tpo,0.3024,0.263,0.212,0.0566,0.687221,7.05,30.87,1392
https://tienphong.vn/ha-noi-xu-ly-hang-chuc-tai-xe-o-to-xe-may-vuot-rao-chan-duong-sat-post1823595.tpo,0.1107,0.0976,0.0944,0.0002,0.669546,2.72,10.02,1501
https://tienphong.vn/cuu-bo-truong-nguyen-thi-kim-tien-duoc-cap-duoi-chia-75-ty-dong-tu-100-ty-nhan-hoi-lo-post1823567.tpo,0.1031,0.0957,0.0928,0.0001,0.718976,3.64,9.32,2298
