URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/my-va-israel-tan-cong-iran-thi-truong-dau-mo-co-the-doi-mat-noi-lo-so-toi-te-nhat-post1824011.tpo,0.0708,0.065,0.0636,0,0.671863,3.22,6.43,2538
https://tienphong.vn/ruoc-bien-dat-bo-ngu-dan-quang-tri-boi-thu-post1823995.tpo,0.1984,0.173,0.166,0.0081,0.673176,4.09,18.19,1346
https://tienphong.vn/cao-toc-cao-lanh-an-huu-chua-lam-xong-vi-sao-dong-thap-de-xuat-mo-rong-post1823986.tpo,0.1857,0.1551,0.1536,0.0057,0.688236,3.55,18.3,1312
https://tienphong.vn/hang-hoa-qua-cua-khau-quang-ninh-tang-manh-post1823958.tpo,0.1786,0.1681,0.1524,0.0055,0.654484,3.07,16.6,1312
https://tienphong.vn/chu-tich-tong-giam-doc-nhieu-doanh-nghiep-dua-co-phieu-post1823910.tpo,0.1432,0.1171,0.1142,0.0013,0.621331,6.58,13.62,2555
https://tienphong.vn/thu-tuong-kiem-tra-du-an-duong-bang-san-bay-phu-cat-post1823946.tpo,0.1456,0.1288,0.1264,0.0009,0.63404,3.57,12.81,1376
https://tienphong.vn/thu-tuong-thi-sat-du-an-cao-toc-quang-ngai-hoai-nhon-hon-20000-ty-post1823941.tpo,0.1662,0.1485,0.1343,0.0035,0.615902,4.45,15.9,1573
https://tienphong.vn/lanh-dao-nhieu-doanh-nghiep-ung-cu-dai-bieu-quoc-hoi-post1823909.tpo,0.1369,0.1139,0.1172,0.0007,0.618482,3.79,13.07,1784
https://tienphong.vn/ly-do-nhieu-doanh-nghiep-thoai-von-bat-thanh-post1823680.tpo,0.11,0.0934,0.087,0.0001,0.584725,3.93,9.67,2000
https://tienphong.vn/gia-dau-vang-tang-dung-dung-vi-my-khong-kich-iran-post1823885.tpo,0.1842,0.1562,0.1507,0.0052,0.603404,6.26,17.93,2009
https://tienphong.vn/gia-vang-quoc-te-co-the-con-tang-manh-post1823905.tpo,0.0844,0.0776,0.074,0,0.595738,5.98,7.94,3556
https://tienphong.vn/nhieu-an-so-thang-3-vn-index-co-chinh-phuc-duoc-1900-diem-post1823912.tpo,0.1147,0.0989,0.0916,0.0001,0.556622,3.76,11.37,1831
https://tienphong.vn/nguoi-mua-vang-lai-dam-post1823873.tpo,0.1966,0.1766,0.1763,0.0072,0.734543,3.29,18.27,1168
https://tienphong.vn/bo-xay-dung-danh-gia-toan-dien-hieu-qua-dau-tu-san-bay-long-thanh-post1823803.tpo,0.1852,0.1669,0.1649,0.0068,0.655944,4.89,16.95,1995
https://tienphong.vn/nong-dan-chuyen-nghiep-khong-mac-ao-vest-di-hoi-thao-post1823790.tpo,0.2032,0.1653,0.1482,0.0056,0.619243,4.91,18.83,1726
https://tienphong.vn/chu-xe-noi-thang-ve-vinfast-vf-8-dang-gia-toi-tung-xu-van-hanh-yen-tam-tuyet-doi-post1823770.tpo,0.1998,0.1689,0.1501,0.006,0.564887,4.66,19.76,1755
https://tienphong.vn/xuat-khau-tang-manh-ngay-dau-nam-post1823760.tpo,0.2475,0.2221,0.2012,0.0264,0.671479,5.94,23.92,1527
https://tienphong.vn/khoi-cong-metro-ben-thanh-thu-thiem-truoc-ngay-204-post1823738.tpo,0.1858,0.1704,0.1645,0.0067,0.667363,4.95,17.74,1780
https://tienphong.vn/chu-tich-hdqt-vietcombank-nghi-quyet-79-tao-dong-luc-de-ngan-hang-thuong-mai-nha-nuoc-phat-huy-vai-tro-chu-luc-post1823739.tpo,0.0655,0.0611,0.0619,0,0.761839,4.34,6.54,2766
https://tienphong.vn/co-tinh-khong-nhan-chuyen-khoan-de-giau-doanh-thu-tron-thue-post1823685.tpo,0.1215,0.1087,0.1036,0.0005,0.66212,3.15,12.16,1447
https://tienphong.vn/tap-doan-tt-group-de-xuat-loat-du-an-chien-luoc-tai-dak-lak-post1823701.tpo,0.0665,0.0598,0.0618,0,,3.69,6.68,2768
https://tienphong.vn/tiet-kiem-toi-25-trieu-dong-tien-nhien-lieu-moi-thang-chu-xe-bay-to-biet-the-mua-vinfast-vf-8-som-hon-post1823663.tpo,0.1113,0.0953,0.0882,0.0001,0.538495,3.02,10.21,1862
https://tienphong.vn/chu-dau-tu-dai-ly-vinfast-tiet-lo-cong-thuc-ban-tren-10000-xe-o-to-dien-moi-nam-tu-mo-hinh-kinh-doanh-sieu-doc-post1823660.tpo,0.0801,0.0669,0.0698,0,0.580815,3.87,8.47,2351
https://tienphong.vn/gia-vang-tang-rat-manh-post1823656.tpo,0.5184,0.3283,0.3341,0.1069,0.656141,5.37,46.6,1181
https://tienphong.vn/tiem-an-rui-ro-dut-gay-thong-tin-truy-xuat-thuy-san-post1823422.tpo,0.2444,0.2127,0.1839,0.0176,0.601632,6.89,22.02,1844
https://tienphong.vn/go-the-vang-thuy-san-khong-con-cho-cho-chu-quan-hinh-thuc-post1823557.tpo,0.1308,0.1195,0.1168,0.0008,0.583459,3.8,13.25,1614
https://tienphong.vn/doanh-nghiep-bo-dao-nha-muon-tham-gia-cac-du-an-nang-luong-tai-tao-o-viet-nam-post1823596.tpo,0.1206,0.1086,0.1,0.0004,0.645133,4.08,11.83,1802
https://tienphong.vn/pho-thu-tuong-thuong-truc-nguyen-hoa-binh-dinh-huong-tang-truong-ben-vung-cua-nganh-cao-su-post1823553.tpo,0.2769,0.2493,0.2204,0.0295,0.612963,6.26,25.43,1793
https://tienphong.vn/vietinbank-nam-2025-cai-thien-hieu-qua-tang-truong-ben-vung-post1823572.tpo,0.149,0.1317,0.1353,0.002,0.695674,5.84,15.47,1722
https://tienphong.vn/nhiet-dien-quang-ninh-khong-chi-pho-tong-bi-bat-chu-tich-va-ceo-tung-dinh-cham-post1823513.tpo,0.2763,0.2088,0.2133,0.0264,0.583828,7.35,26.52,1716
https://tienphong.vn/khong-de-dut-nguon-cung-xang-dau-vi-cang-thang-trung-dong-post1823508.tpo,0.2284,0.201,0.189,0.0165,0.616866,6.16,22.23,1817
https://tienphong.vn/gia-tang-tinh-trang-quay-roi-de-doa-khi-thu-hoi-no-post1823519.tpo,0.2182,0.1827,0.1674,0.0133,0.688536,4.96,22.24,1277
https://tienphong.vn/chung-khoan-pakistan-sup-do-post1823537.tpo,0.1063,0.0878,0.087,0.0001,0.607153,3.4,9.33,1852
https://tienphong.vn/sau-tet-gia-thuc-pham-tai-tphcm-bien-dong-ra-sao-post1823516.tpo,0.2463,0.2199,0.2197,0.0271,0.603145,5.84,21.99,1746
https://tienphong.vn/cang-ca-lon-nhat-mien-trung-se-thanh-cang-du-lich-post1823505.tpo,0.1262,0.1027,0.0917,0.0002,0.617024,3.93,13.04,1518
https://tienphong.vn/bidv-va-giai-phap-giup-ho-kinh-doanh-chuan-hoa-tai-khoan-post1823512.tpo,0.2142,0.1893,0.1733,0.0143,0.65264,4.2,19.94,1691
https://tienphong.vn/ly-do-thanh-toan-giao-dich-chung-khoan-cham-tre-post1823488.tpo,0.1304,0.1155,0.1101,0.0006,0.674859,3.9,12.85,1681
https://tienphong.vn/doanh-nghiep-noi-ve-nut-that-co-che-khien-nguon-luc-dung-yen-tren-so-sach-post1823054.tpo,0.1829,0.1587,0.1488,0.0059,0.615284,4.49,17.85,1916
https://tienphong.vn/vi-sao-cac-cong-ty-xo-so-mien-nam-muon-sap-nhap-post1823437.tpo,0.2669,0.2334,0.2168,0.0371,0.705173,4.69,24.66,1471
https://tienphong.vn/my-bo-thue-doi-ung-tac-dong-gi-toi-doanh-nghiep-viet-post1823339.tpo,0.178,0.1489,0.1274,0.0029,0.596902,5.36,16.23,2075
https://tienphong.vn/trung-tam-tai-chinh-quoc-te-tphcm-van-hanh-nhu-the-nao-post1815902.tpo,0.1144,0.1038,0.0961,0.0002,0.620509,5.03,10.96,2657
https://tienphong.vn/de-xuat-moi-ve-tien-gui-post1823427.tpo,0.1713,0.1454,0.1323,0.0031,0.638227,3.66,15.98,1376
https://tienphong.vn/ly-do-nen-tang-goi-xe-doanh-nghiep-van-tai-khach-gap-kho-ve-hoa-don-dien-tu-post1823429.tpo,0.2337,0.1942,0.1918,0.02,0.673073,6.16,21.95,1799
https://tienphong.vn/toan-canh-du-an-san-bay-long-thanh-16-ty-usd-post1823218.tpo,0.8571,0.5946,0.6696,0.248,0.667631,3.05,100.85,700
https://tienphong.vn/chuyen-doi-so-cu-hich-chien-luoc-cua-vietinbank-post1823384.tpo,0.1039,0.0863,0.0862,0.0001,,5.18,9.9,1934
https://tienphong.vn/ngan-hang-soi-dong-cuoc-dua-hut-tien-gui-dau-nam-post1823253.tpo,0.2341,0.1992,0.1858,0.0161,0.594241,5.14,22.32,1703
https://tienphong.vn/gia-vang-bac-giam-manh-sau-ngay-via-than-tai-post1823367.tpo,0.3263,0.2683,0.276,0.0485,0.666655,4.99,29.85,1266
https://tienphong.vn/16-ty-usd-lam-san-bay-long-thanh-nhin-vao-dang-cap-changi-incheon-va-tham-vong-bac-kinh-post1823210.tpo,0.0887,0.0789,0.0744,0,0.603017,5.2,8.04,3346
https://tienphong.vn/dieu-moi-la-nhat-ngay-via-than-tai-nam-nay-post1823225.tpo,0.7097,0.4675,0.5161,0.2116,0.685032,2.74,74.64,710
https://tienphong.vn/pho-vang-bac-sam-uat-bong-dung-vang-tanh-vang-ngat-post1823298.tpo,0.3287,0.2293,0.215,0.0268,0.613388,4.62,29.88,1249
