URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/thong-tin-moi-vu-2-nu-sinh-lop-8-bi-bat-ve-lam-vo-o-nghe-an-post1823985.tpo,0.31,0.2417,0.2282,0.0476,0.62265,5.39,29.29,1394
https://tienphong.vn/hang-tram-hoc-sinh-da-nang-tranh-tai-robotics-va-drone-post1823977.tpo,0.3617,0.2828,0.2622,0.0725,0.704828,5.15,34.56,1308
https://tienphong.vn/pgsts-pham-manh-ha-diem-so-khong-la-thuoc-do-kha-nang-thich-nghi-cua-tre-trong-cuoc-song-post1823820.tpo,0.0716,0.0638,0.0608,0,0.543213,4.17,6.92,2630
https://tienphong.vn/2-nu-sinh-lop-8-bi-bat-ve-lam-vo-sau-tet-post1823797.tpo,0.1973,0.1684,0.1715,0.0134,0.719401,3.14,20.35,1152
https://tienphong.vn/bao-gio-ha-noi-cong-bo-thoi-gian-thi-tuyen-lop-10-post1823793.tpo,0.1714,0.1385,0.1432,0.0035,0.676186,2.99,16.51,1320
https://tienphong.vn/ong-hoang-minh-son-lam-quyen-bo-truong-bo-giao-duc-va-dao-tao-post1823703.tpo,0.3227,0.2574,0.2364,0.0747,0.696546,2.93,31.31,1028
https://tienphong.vn/hoc-sinh-se-duoc-day-khoi-nghiep-tu-tieu-hoc-post1823526.tpo,0.139,0.1175,0.1136,0.0011,0.649688,3.64,14.63,1555
https://tienphong.vn/dao-tao-y-khoa-khong-the-chi-trong-giang-duong-post1823547.tpo,0.2694,0.2371,0.2274,0.0328,0.644554,5.25,24.23,1723
https://tienphong.vn/ha-noi-du-chi-300-ty-ho-tro-dao-tao-1000-tien-si-post1823517.tpo,0.1223,0.1003,0.1003,0.0003,0.599047,3.6,11.6,1572
https://tienphong.vn/tuong-trinh-cua-giao-vien-bi-to-bat-35-hoc-sinh-liem-dat-post1823464.tpo,0.2046,0.1696,0.1436,0.0092,0.669585,3.69,19.91,1261
https://tienphong.vn/hanh-trinh-vuot-qua-noi-so-cua-sinh-vien-y-khoa-post1823411.tpo,0.1558,0.1311,0.1148,0.0014,0.56641,5.98,13.44,2316
