URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/cac-nguoi-dep-hoa-hau-viet-nam-check-in-tai-ngoi-chua-2000-nam-tuoi-o-bac-ninh-post1824000.tpo,0.327,0.2816,0.2101,0.0417,0.629249,5.03,29.95,1240
https://tienphong.vn/bien-nguoi-do-ve-song-day-xem-cac-do-vat-post1823974.tpo,0.363,0.2971,0.269,0.0523,0.630631,5.13,33.04,1240
https://tienphong.vn/hieu-dung-ve-cau-cung-quanh-nam-khong-bang-ram-thang-gieng-post1823919.tpo,0.767,0.4118,0.4175,0.1206,0.670191,5.51,99.01,670
https://tienphong.vn/ha-truc-linh-va-cac-nguoi-dep-hoa-hau-viet-nam-du-xuan-mien-di-san-bac-ninh-post1823938.tpo,0.1704,0.1412,0.1294,0.0021,0.587563,6.35,14.93,2434
https://tienphong.vn/nghe-nhac-trinh-ben-dong-song-huong-post1823845.tpo,0.2667,0.2369,0.2156,0.0212,0.628167,5.97,25.19,1439
https://tienphong.vn/nsnd-trinh-thuy-mui-ung-cu-dai-bieu-quoc-hoi-khoa-xiv-post1823930.tpo,0.1357,0.113,0.1162,0.0011,0.585163,5.01,13.44,1752
https://tienphong.vn/nhan-sac-chi-hai-quan-ho-don-tim-du-khach-tai-hoi-lim-post1823900.tpo,0.8397,0.5538,0.4885,0.1897,0.672145,3.84,101.52,736
https://tienphong.vn/bao-han-kinh-ngac-viet-nam-post1823892.tpo,0.1584,0.1311,0.1087,0.0017,0.594718,4.36,13.82,1655
https://tienphong.vn/hang-nghin-nguoi-do-ve-dinh-van-noi-ruoc-lua-thieng-ve-nha-luc-nua-dem-post1823877.tpo,0.1953,0.1598,0.1568,0.004,0.65186,4.24,18.03,1347
https://tienphong.vn/le-ruoc-co-ba-cho-duoc-trong-dem-post1823791.tpo,0.1391,0.1242,0.1067,0.0004,0.644391,4.34,12.74,1916
https://tienphong.vn/le-hoi-cau-ngu-hon-500-nam-tuoi-o-hue-post1823789.tpo,0.2875,0.2312,0.1755,0.0178,0.592248,6.77,24.21,1533
https://tienphong.vn/ngoi-dinh-co-2-sac-phong-vua-ban-giua-song-tien-post1822693.tpo,0.8687,0.6735,0.6465,0.1875,0.648542,4.38,139.39,707
https://tienphong.vn/cu-ba-104-tuoi-o-ha-tinh-chia-se-bi-quyet-song-khoe-post1822624.tpo,0.1448,0.1258,0.1191,0.0007,0.603578,6.14,13.13,2399
https://tienphong.vn/chiec-cap-long-dung-com-co-thu-tuong-pham-van-dong-thuong-mang-theo-khi-di-cong-tac-post1823300.tpo,0.2113,0.1534,0.1478,0.0041,0.578172,9.14,18.15,1986
https://tienphong.vn/le-hoi-ba-chiem-son-thanh-di-san-van-hoa-phi-vat-the-quoc-gia-post1823730.tpo,0.3353,0.2687,0.2474,0.0761,0.708854,5.46,32.08,1310
https://tienphong.vn/lang-rom-giua-mien-di-san-post1822811.tpo,0.1209,0.1071,0.094,0.0003,0.548478,3.89,12.16,1714
https://tienphong.vn/khai-mac-hoi-bao-xuan-va-ngay-hoi-van-hoa-doc-2026-post1823704.tpo,0.1224,0.1147,0.1185,0.0006,0.624322,3.87,12.11,1784
https://tienphong.vn/giai-bai-toan-bien-nguoi-di-le-hoi-post1823626.tpo,0.0537,0.0497,0.0483,0,0.589334,3.18,5.62,3023
https://tienphong.vn/han-quoc-quan-ngai-truoc-lan-song-tay-chay-tu-dong-nam-a-post1823592.tpo,0.0911,0.081,0.0767,0,0.551809,5.59,9.56,2154
https://tienphong.vn/chuoi-le-hoi-ram-thang-gieng-doc-dao-cua-nguoi-hoa-o-cho-lon-post1823534.tpo,0.2522,0.2259,0.2069,0.0266,0.643518,4.46,23.85,1467
https://tienphong.vn/le-hoi-hoa-ban-2026-bung-no-sac-mau-voi-carnaval-duong-pho-post1823443.tpo,0.2692,0.2347,0.2028,0.0308,0.671162,3.99,26.34,1083
https://tienphong.vn/ha-nguon-song-huong-day-song-dau-xuan-post1823536.tpo,0.2562,0.1916,0.1773,0.0149,0.56081,4.49,22.73,1547
https://tienphong.vn/hap-dan-kho-cuong-tu-lan-song-viet-nam-post1816187.tpo,0.1123,0.1023,0.0969,0.0001,0.645063,5.41,11.3,2683
https://tienphong.vn/du-khach-do-ve-ngoi-lang-co-hang-sua-co-post1823184.tpo,0.5085,0.3902,0.3796,0.1156,,5.76,48.52,1074
https://tienphong.vn/nhac-si-nguyen-vinh-tien-tro-thanh-y-si-o-tuoi-52-post1823424.tpo,0.1634,0.1402,0.1278,0.003,0.608567,2.86,15.06,1301
https://tienphong.vn/doc-dao-le-hoi-mien-phi-hon-100000-nguoi-toi-cau-loc-cau-tai-post1823371.tpo,0.1326,0.1121,0.1039,0.0008,,4.34,12.7,1837
https://tienphong.vn/chien-thang-cua-tran-thanh-va-ban-thu-nhan-tap-the-post1823119.tpo,0.0812,0.0727,0.0692,0,0.507704,3.57,7.61,2293
https://tienphong.vn/cu-den-chua-la-cau-xin-du-thu-rai-tien-khap-noi-post1823349.tpo,0.1345,0.1165,0.1096,0.0004,0.548137,3.88,12.17,2036
https://tienphong.vn/le-cung-nghinh-thuy-luc-post1823152.tpo,0.1321,0.1143,0.1094,0.0005,0.638601,3.09,13.31,1593
https://tienphong.vn/bien-tuong-dang-sao-giai-han-post1823301.tpo,0.1132,0.0936,0.0846,0,0.555301,4.01,10.26,2620
https://tienphong.vn/hoa-si-nhan-boi-thuong-sau-khi-to-quan-tra-sua-o-dak-lak-post1823250.tpo,0.2119,0.1861,0.157,0.0099,0.602363,4.81,20.85,1862
https://tienphong.vn/tphcm-sap-co-them-2-bao-vat-quoc-gia-post1823249.tpo,0.1569,0.1364,0.1294,0.003,0.545992,3.42,16.09,1515
https://tienphong.vn/can-man-ha-soi-kich-tinh-tai-hoi-vat-hon-400-nam-tuoi-post1823234.tpo,0.1681,0.1344,0.1279,0.0018,0.593514,3.06,15.51,1464
https://tienphong.vn/dung-kin-bo-song-thu-bon-xem-dua-thuyen-post1823214.tpo,0.219,0.1931,0.1814,0.0109,0.684852,2.64,20.03,1180
https://tienphong.vn/hang-nghin-nguoi-khai-hoi-yen-tu-2026-post1823208.tpo,0.075,0.0679,0.0668,0,0.585942,3.91,7.71,2370
https://tienphong.vn/trung-ta-nhac-si-do-bao-lam-dieu-dac-biet-voi-dan-nhac-giao-huong-quan-doi-post1823010.tpo,0.1248,0.1082,0.1038,0.0005,0.628295,3.42,12.32,1873
https://tienphong.vn/hung-yen-di-chuyen-dinh-van-noi-chua-hung-khanh-ra-vi-tri-da-duoc-quy-hoach-post1823079.tpo,0.2502,0.2157,0.2135,0.0249,0.64591,5.34,25.62,1588
https://tienphong.vn/tai-dien-canh-nhet-tien-le-vao-mam-le-post1823064.tpo,0.1954,0.1583,0.1609,0.0051,0.640012,2.92,18.45,1265
https://tienphong.vn/mang-tho-xuong-ham-mo-post1823062.tpo,0.0921,0.0781,0.0794,0,0.616832,4.85,8.31,2581
https://tienphong.vn/dan-ba-mien-bac-trung-nam-lam-gi-trong-ngay-via-than-tai-post1822925.tpo,0.1101,0.092,0.0882,0,0.552997,4.22,10.09,2073
https://tienphong.vn/doc-dao-le-ruoc-kieu-ba-o-tphcm-thu-hut-hang-van-nguoi-post1823065.tpo,0.75,0.4667,0.5263,0.1727,0.562523,2.91,114.89,672
https://tienphong.vn/san-sang-khai-hoi-con-son-kiep-bac-post1823059.tpo,0.106,0.0923,0.0882,0.0001,0.62667,2.9,10.44,1654
https://tienphong.vn/ban-sac-vung-cao-len-xu-huong-mang-xa-hoi-post1823078.tpo,0.0672,0.0587,0.0599,0,0.544002,3.7,6.19,2751
https://tienphong.vn/van-khan-cung-via-than-tai-post1823092.tpo,0.2058,0.1718,0.1563,0.0074,0.607683,4.64,17.36,1687
https://tienphong.vn/tieng-chieng-cua-nguoi-muong-tren-dat-tay-nguyen-post1822755.tpo,0.2627,0.1974,0.1724,0.0126,0.592351,4.03,23.42,1211
https://tienphong.vn/ngua-giay-khung-xep-kin-san-cho-dot-o-den-cho-cui-post1822930.tpo,0.2692,0.2305,0.1876,0.0183,0.620724,4.68,25.84,1444
https://tienphong.vn/hang-nghin-nguoi-tray-hoi-den-huyen-tran-post1822978.tpo,0.1634,0.1359,0.1482,0.0026,0.607255,4.27,15.26,1330
https://tienphong.vn/dao-tao-5000-nhan-luc-phat-trien-tro-choi-dien-tu-de-giao-duc-lich-su-viet-nam-post1823002.tpo,0.1274,0.1117,0.1066,0.0005,0.648966,4.5,11.36,1910
https://tienphong.vn/cong-duc-bang-qr-tai-den-hung-post1822782.tpo,0.2312,0.1958,0.1759,0.0157,0.635186,5.83,22.4,1481
https://tienphong.vn/da-nang-tung-bung-hoi-dua-thuyen-tren-song-cu-de-post1822807.tpo,0.2373,0.1925,0.1843,0.008,0.612236,3.0,21.87,1083
