URL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/cac-nguoi-dep-hoa-hau-viet-nam-check-in-tai-ngoi-chua-2000-nam-tuoi-o-bac-ninh-post1824000.tpo,0.3128,0.2326,0.1880,0.0261,0.6167,3125,28.2600,1228
https://tienphong.vn/bien-nguoi-do-ve-song-day-xem-cac-do-vat-post1823974.tpo,0.3728,0.2938,0.2528,0.0429,0.6043,4387,33.0400,1239
https://tienphong.vn/hieu-dung-ve-cau-cung-quanh-nam-khong-bang-ram-thang-gieng-post1823919.tpo,0.8835,0.6275,0.4757,0.0839,0.5882,4627,212.8700,787
https://tienphong.vn/ha-truc-linh-va-cac-nguoi-dep-hoa-hau-viet-nam-du-xuan-mien-di-san-bac-ninh-post1823938.tpo,0.1571,0.1337,0.1235,0.0014,0.5718,4730,14.4600,2426
https://tienphong.vn/nghe-nhac-trinh-ben-dong-song-huong-post1823845.tpo,0.3433,0.2914,0.2656,0.0576,0.6294,5302,33.7200,1509
https://tienphong.vn/nsnd-trinh-thuy-mui-ung-cu-dai-bieu-quoc-hoi-khoa-xiv-post1823930.tpo,0.2526,0.2138,0.1755,0.0176,0.5649,5323,22.9000,1863
https://tienphong.vn/nhan-sac-chi-hai-quan-ho-don-tim-du-khach-tai-hoi-lim-post1823900.tpo,0.9084,0.6615,0.5267,0.1429,0.6403,6911,158.3300,813
https://tienphong.vn/bao-han-kinh-ngac-viet-nam-post1823892.tpo,0.3682,0.2991,0.2406,0.0600,0.6662,15665,33.4000,1863
https://tienphong.vn/hang-nghin-nguoi-do-ve-dinh-van-noi-ruoc-lua-thieng-ve-nha-luc-nua-dem-post1823877.tpo,0.3728,0.2879,0.2407,0.0446,0.5656,12549,33.1100,1461
https://tienphong.vn/le-ruoc-co-ba-cho-duoc-trong-dem-post1823791.tpo,0.2237,0.1954,0.1708,0.0084,0.5869,6694,21.1300,2026
https://tienphong.vn/le-hoi-cau-ngu-hon-500-nam-tuoi-o-hue-post1823789.tpo,0.3995,0.3457,0.2679,0.0763,0.6166,9485,33.5300,1616
https://tienphong.vn/ngoi-dinh-co-2-sac-phong-vua-ban-giua-song-tien-post1822693.tpo,0.9091,0.6633,0.6364,0.1255,0.6352,10097,172.7300,742
https://tienphong.vn/cu-ba-104-tuoi-o-ha-tinh-chia-se-bi-quyet-song-khoe-post1822624.tpo,0.1783,0.1572,0.1358,0.0032,0.6332,11877,16.0000,2449
https://tienphong.vn/chiec-cap-long-dung-com-co-thu-tuong-pham-van-dong-thuong-mang-theo-khi-di-cong-tac-post1823300.tpo,0.2399,0.1898,0.1556,0.0129,0.6051,5126,21.6500,2032
https://tienphong.vn/le-hoi-ba-chiem-son-thanh-di-san-van-hoa-phi-vat-the-quoc-gia-post1823730.tpo,,,,,,,,
https://tienphong.vn/lang-rom-giua-mien-di-san-post1822811.tpo,,,,,,,,
https://tienphong.vn/khai-mac-hoi-bao-xuan-va-ngay-hoi-van-hoa-doc-2026-post1823704.tpo,,,,,,,,
https://tienphong.vn/giai-bai-toan-bien-nguoi-di-le-hoi-post1823626.tpo,,,,,,,,
https://tienphong.vn/han-quoc-quan-ngai-truoc-lan-song-tay-chay-tu-dong-nam-a-post1823592.tpo,,,,,,,,
https://tienphong.vn/chuoi-le-hoi-ram-thang-gieng-doc-dao-cua-nguoi-hoa-o-cho-lon-post1823534.tpo,,,,,,,,
https://tienphong.vn/le-hoi-hoa-ban-2026-bung-no-sac-mau-voi-carnaval-duong-pho-post1823443.tpo,,,,,,,,
https://tienphong.vn/ha-nguon-song-huong-day-song-dau-xuan-post1823536.tpo,,,,,,,,
https://tienphong.vn/hap-dan-kho-cuong-tu-lan-song-viet-nam-post1816187.tpo,,,,,,,,
https://tienphong.vn/du-khach-do-ve-ngoi-lang-co-hang-sua-co-post1823184.tpo,,,,,,,,
https://tienphong.vn/nhac-si-nguyen-vinh-tien-tro-thanh-y-si-o-tuoi-52-post1823424.tpo,,,,,,,,
https://tienphong.vn/doc-dao-le-hoi-mien-phi-hon-100000-nguoi-toi-cau-loc-cau-tai-post1823371.tpo,,,,,,,,
https://tienphong.vn/chien-thang-cua-tran-thanh-va-ban-thu-nhan-tap-the-post1823119.tpo,,,,,,,,
https://tienphong.vn/cu-den-chua-la-cau-xin-du-thu-rai-tien-khap-noi-post1823349.tpo,,,,,,,,
https://tienphong.vn/le-cung-nghinh-thuy-luc-post1823152.tpo,,,,,,,,
https://tienphong.vn/bien-tuong-dang-sao-giai-han-post1823301.tpo,,,,,,,,
https://tienphong.vn/hoa-si-nhan-boi-thuong-sau-khi-to-quan-tra-sua-o-dak-lak-post1823250.tpo,,,,,,,,
https://tienphong.vn/tphcm-sap-co-them-2-bao-vat-quoc-gia-post1823249.tpo,,,,,,,,
https://tienphong.vn/can-man-ha-soi-kich-tinh-tai-hoi-vat-hon-400-nam-tuoi-post1823234.tpo,,,,,,,,
https://tienphong.vn/dung-kin-bo-song-thu-bon-xem-dua-thuyen-post1823214.tpo,,,,,,,,
