URL,MODEL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/chu-nhat-do-2026-gap-nu-sinh-gan-10-lan-hien-mau-post1823998.tpo,gpt4o,0.1548,0.1357,0.1325,0.0018,0.6150,5863,15.4300,2443
https://tienphong.vn/chu-nhat-do-2026-gap-nu-sinh-gan-10-lan-hien-mau-post1823998.tpo,gpt4o-mini,0.1517,0.1299,0.1153,0.0012,0.5888,5299,14.6700,2431
https://tienphong.vn/ong-tran-sy-thanh-cam-ket-gi-voi-cu-tri-lang-son-post1823987.tpo,gpt4o,0.2516,0.2158,0.1878,0.0265,0.5865,6180,24.3700,1708
https://tienphong.vn/ong-tran-sy-thanh-cam-ket-gi-voi-cu-tri-lang-son-post1823987.tpo,gpt4o-mini,0.2147,0.1969,0.1734,0.0124,0.6177,5311,20.3400,1665
https://tienphong.vn/thong-tin-moi-vu-2-nu-sinh-lop-8-bi-bat-ve-lam-vo-o-nghe-an-post1823985.tpo,gpt4o,0.3694,0.3012,0.2744,0.0758,0.5987,4880,32.2200,1418
https://tienphong.vn/thong-tin-moi-vu-2-nu-sinh-lop-8-bi-bat-ve-lam-vo-o-nghe-an-post1823985.tpo,gpt4o-mini,0.1834,0.1625,0.1464,0.0067,0.6020,4977,17.4300,1308
https://tienphong.vn/vung-2-hai-quan-bo-phieu-bau-cu-som-post1823970.tpo,gpt4o,0.3187,0.2739,0.2358,0.0509,0.6718,5023,31.0200,1733
https://tienphong.vn/vung-2-hai-quan-bo-phieu-bau-cu-som-post1823970.tpo,gpt4o-mini,0.1405,0.1207,0.1237,0.0016,0.6656,2978,13.6900,1565
https://tienphong.vn/nhung-la-phieu-dac-biet-tren-them-luc-dia-phia-nam-post1823954.tpo,gpt4o,0.2373,0.1998,0.1843,0.0132,0.5988,4287,22.5500,1632
https://tienphong.vn/nhung-la-phieu-dac-biet-tren-them-luc-dia-phia-nam-post1823954.tpo,gpt4o-mini,0.1589,0.1376,0.1415,0.0024,0.6386,5190,16.3300,1573
https://tienphong.vn/dong-bao-dan-toc-giao-dan-dak-lak-gui-tron-niem-tin-vao-la-phieu-bau-post1823827.tpo,gpt4o,0.4085,0.3551,0.3382,0.1248,0.6555,7074,38.9800,1703
https://tienphong.vn/dong-bao-dan-toc-giao-dan-dak-lak-gui-tron-niem-tin-vao-la-phieu-bau-post1823827.tpo,gpt4o-mini,0.1810,0.1646,0.1427,0.0061,0.7069,4727,17.4000,1508
https://tienphong.vn/cuu-chien-binh-duoc-chuong-trinh-chu-nhat-do-sua-nha-khang-trang-toi-mung-khong-ngu-duoc-post1823966.tpo,gpt4o,0.1877,0.1665,0.1356,0.0050,0.5876,4496,17.7100,2292
https://tienphong.vn/cuu-chien-binh-duoc-chuong-trinh-chu-nhat-do-sua-nha-khang-trang-toi-mung-khong-ngu-duoc-post1823966.tpo,gpt4o-mini,0.1018,0.0889,0.0882,0.0001,0.5660,4103,10.4700,2178
https://tienphong.vn/no-tai-benh-vien-tra-vinh-xuat-phat-tu-hop-banh-cua-nguoi-tham-benh-post1823965.tpo,gpt4o,0.3171,0.2451,0.2295,0.0336,0.6142,4948,30.6700,1353
https://tienphong.vn/no-tai-benh-vien-tra-vinh-xuat-phat-tu-hop-banh-cua-nguoi-tham-benh-post1823965.tpo,gpt4o-mini,0.1822,0.1546,0.1488,0.0043,0.5714,3783,17.6300,1263
https://tienphong.vn/giai-the-5-trung-tam-y-te-o-ca-mau-post1823962.tpo,gpt4o,0.3911,0.3317,0.2931,0.1112,0.6836,3878,36.5600,1473
https://tienphong.vn/giai-the-5-trung-tam-y-te-o-ca-mau-post1823962.tpo,gpt4o-mini,0.2919,0.2455,0.2356,0.0366,0.6600,3950,27.2900,1402
